id,cnn_score,energy
177002.000,0.021,2614.668
533635.000,0.053,1000.459
895764.000,0.042,2615.355
565138.000,0.653,1403.692
833608.000,0.034,1418.028
327619.000,0.087,1852.166
814186.000,0.003,2422.558
138673.000,0.438,2184.697
1024139.000,0.624,2357.099
25593.000,0.112,2356.928
930245.000,0.166,1698.250
44454.000,0.001,2614.180
6603.000,0.704,2185.405
825889.000,0.753,1085.712
587950.000,0.005,1876.024
770872.000,0.028,2532.186
276953.000,0.265,2019.660
66767.000,0.146,2450.488
390126.000,0.822,2612.536
434716.000,0.044,2229.878
304430.000,0.021,1745.163
855884.000,0.490,1605.647
310619.000,0.007,1787.759
510110.000,0.040,2273.294
885640.000,0.031,2023.941
641915.000,0.009,2613.581
24921.000,0.109,2094.617
127476.000,0.072,2613.614
115436.000,0.005,2616.184
196990.000,0.088,2414.450
491374.000,0.056,2256.035
904452.000,0.178,1998.581
40319.000,0.001,2104.532
159957.000,0.403,2115.295
969509.000,0.871,2377.553
446844.000,0.100,1078.816
485066.000,0.077,2117.359
883961.000,0.138,2412.448
66210.000,0.100,1620.740
648620.000,0.466,1797.920
432411.000,0.040,2615.974
80473.000,0.059,2614.798
478469.000,0.075,2031.140
979671.000,0.062,1701.806
566697.000,0.165,1644.732
218169.000,0.243,1852.067
1030506.000,0.290,1470.309
611338.000,0.032,2616.346
394339.000,0.072,1458.053
952374.000,0.196,2441.735
813170.000,0.129,2018.270
374031.000,0.198,1310.861
267461.000,0.042,1035.156
950073.000,0.004,2459.938
914630.000,0.019,2098.198
484845.000,0.033,1891.402
428259.000,0.453,1340.175
1017127.000,0.020,1523.151
1012884.000,0.354,1178.749
89918.000,0.188,1766.701
328792.000,0.489,1537.381
1010069.000,0.000,1212.562
991945.000,0.491,2071.196
933363.000,0.238,2124.480
302115.000,0.045,1353.228
901421.000,0.053,1328.370
985154.000,0.000,1865.173
851413.000,0.113,2613.437
760699.000,0.001,1252.521
896132.000,0.195,2249.276
581864.000,0.037,2614.819
960932.000,0.012,2543.452
644852.000,0.227,1969.809
162714.000,0.530,1294.731
290089.000,0.195,2291.985
126739.000,0.065,2615.150
550461.000,0.032,2393.483
59321.000,0.863,1160.824
309142.000,0.007,2477.466
268738.000,0.020,2614.232
487560.000,0.685,1195.770
152615.000,0.707,1197.326
694293.000,0.085,1024.068
267324.000,0.157,2446.942
303387.000,0.004,1647.902
198211.000,0.019,1010.074
1009889.000,0.002,1275.879
558682.000,0.016,2401.825
50839.000,0.000,2280.392
326925.000,0.000,2099.809
364462.000,0.829,1796.291
834120.000,0.097,1988.582
309556.000,0.156,1092.415
65549.000,0.097,2069.719
88090.000,0.810,1146.638
355833.000,0.002,1021.880
341210.000,0.321,1677.593
1018096.000,0.124,2151.303
850232.000,0.001,2432.431
663623.000,0.009,1274.828
446702.000,0.362,2348.341
141005.000,0.079,2549.709
111282.000,0.438,1555.540
786415.000,0.671,2211.332
230022.000,0.071,2614.317
270749.000,0.001,2615.637
288453.000,0.603,1267.711
592786.000,0.035,2613.368
829891.000,0.048,2106.929
173676.000,0.253,2335.130
807214.000,0.053,1007.574
505537.000,0.054,1008.604
584901.000,0.292,2613.401
680740.000,0.047,2363.983
684776.000,0.051,1001.878
596388.000,0.096,1487.075
575588.000,0.075,2304.603
457000.000,0.076,2394.759
504264.000,0.064,2024.617
748822.000,0.600,1829.520
364754.000,0.032,2612.985
674728.000,0.113,2187.202
259676.000,0.756,1377.364
810527.000,0.009,2120.550
491904.000,0.023,2231.223
191141.000,0.015,2613.728
400165.000,0.088,1093.984
75881.000,0.246,2615.982
6695.000,0.064,1018.310
401272.000,0.564,1092.850
46299.000,0.007,2207.760
330859.000,0.001,2614.506
396971.000,0.713,2358.058
848818.000,0.008,1437.560
374909.000,0.033,2408.080
357777.000,0.023,1313.347
163750.000,0.442,1469.353
800728.000,0.203,1707.113
135093.000,0.034,1768.881
492118.000,0.061,1902.701
635121.000,0.506,1089.594
333328.000,0.184,1061.011
690052.000,0.010,2615.423
951162.000,0.556,2616.415
1013926.000,0.029,2351.105
573527.000,0.296,1821.538
41492.000,0.937,1027.533
145939.000,0.205,1894.348
693292.000,0.128,1523.240
216644.000,0.013,1645.141
29501.000,0.035,2407.879
562359.000,0.013,2614.685
836641.000,0.239,2266.302
726898.000,0.079,2273.901
754907.000,0.065,1330.991
1015689.000,0.096,2019.359
507251.000,0.169,2071.325
38376.000,0.172,1539.151
33520.000,0.000,2103.432
134510.000,0.061,2336.350
670981.000,0.003,1816.041
761778.000,0.046,1108.545
576665.000,0.003,2513.602
411476.000,0.031,1125.742
806169.000,0.047,1766.028
852882.000,0.003,1666.855
421670.000,0.031,1131.510
50422.000,0.923,1253.197
793958.000,0.007,1387.571
753557.000,0.171,1251.360
14478.000,0.073,1990.595
50496.000,0.077,1617.953
992733.000,0.089,2231.774
756984.000,0.367,2325.384
584530.000,0.458,2075.803
530578.000,0.494,2111.450
149109.000,0.009,2409.792
153240.000,0.088,1545.528
788556.000,0.127,2220.635
890885.000,0.727,1881.232
1003813.000,0.172,2301.490
674280.000,0.681,1624.259
460307.000,0.034,2297.444
90387.000,0.046,1724.013
756856.000,0.050,1089.404
30086.000,0.001,2611.986
164111.000,0.054,2467.516
808428.000,0.499,1522.991
777484.000,0.561,1595.741
169701.000,0.523,2314.692
697588.000,0.081,2612.292
408023.000,0.561,2298.404
426728.000,0.040,2209.688
815652.000,0.010,1976.987
467770.000,0.000,1567.997
36060.000,0.053,1686.990
442012.000,0.050,2318.688
751825.000,0.661,2612.800
936997.000,0.001,1217.240
565293.000,0.120,1589.926
338960.000,0.002,2011.452
361772.000,0.091,2612.883
206849.000,0.000,2206.568
847852.000,0.018,1656.498
704339.000,0.735,1783.465
342724.000,0.099,2447.117
963036.000,0.224,2125.652
561019.000,0.001,2103.171
839088.000,0.005,2615.865
790564.000,0.039,1931.080
382654.000,0.563,2359.592
891221.000,0.012,1198.608
419395.000,0.310,1777.669
669275.000,0.000,1191.150
471979.000,0.593,1748.644
511277.000,0.038,2445.694
917027.000,0.013,1565.147
977833.000,0.556,1556.982
19460.000,0.031,1481.757
813559.000,0.053,1311.704
777743.000,0.001,2338.077
423431.000,0.184,2615.639
289301.000,0.273,2105.215
990308.000,0.240,2335.355
899678.000,0.021,1210.584
384780.000,0.821,1341.430
5981.000,0.587,2379.070
303460.000,0.062,2151.546
903643.000,0.055,1739.757
344502.000,0.000,2382.981
375285.000,0.637,2402.020
655397.000,0.071,1993.104
757666.000,0.094,1993.692
694283.000,0.086,1694.182
253766.000,0.105,1476.882
1007333.000,0.640,2109.179
396738.000,0.017,1062.425
768199.000,0.005,1653.088
501371.000,0.312,1418.331
93348.000,0.121,1255.442
400566.000,0.095,1159.559
124108.000,0.087,2615.124
958245.000,0.216,2615.211
655327.000,0.000,1841.341
627971.000,0.024,1171.386
154797.000,0.662,2438.305
388506.000,0.083,2007.144
746240.000,0.058,2613.571
320486.000,0.098,1142.949
179642.000,0.056,2379.129
341505.000,0.210,2165.931
659534.000,0.222,1083.038
592781.000,0.002,2276.899
705742.000,0.043,2613.549
892457.000,0.455,1253.140
531087.000,0.044,2356.657
932164.000,0.000,1235.996
186319.000,0.073,2290.867
137457.000,0.004,2453.209
540071.000,0.529,1560.249
539020.000,0.059,2613.594
450758.000,0.206,1270.129
399423.000,0.008,2613.383
910500.000,0.218,1720.290
4525.000,0.000,1914.829
731189.000,0.442,1999.252
837366.000,0.001,2615.943
619228.000,0.084,2489.066
1038752.000,0.017,2488.159
793509.000,0.013,2374.111
256776.000,0.425,2462.307
295533.000,0.168,1200.934
552288.000,0.026,2106.893
521649.000,0.161,2369.589
194016.000,0.001,1530.781
813188.000,0.000,1993.036
1035933.000,0.107,2372.442
183581.000,0.007,1384.815
971089.000,0.004,1710.805
570478.000,0.092,2300.727
239721.000,0.001,2239.297
245998.000,0.086,1432.836
701449.000,0.064,2324.033
504936.000,0.105,2463.901
528256.000,0.074,2399.754
905655.000,0.001,2346.623
724892.000,0.455,1588.674
312152.000,0.379,2204.819
426372.000,0.587,2346.040
355099.000,0.001,2612.082
541483.000,0.000,1517.268
327255.000,0.483,2220.877
550965.000,0.877,2285.443
101206.000,0.408,1285.726
483073.000,0.085,1243.911
1025970.000,0.019,2105.448
622646.000,0.084,2614.840
606692.000,0.027,2302.605
650325.000,0.719,1408.443
989199.000,0.008,1537.656
860680.000,0.001,2611.463
563669.000,0.005,1512.542
669601.000,0.777,1647.979
543370.000,0.191,1251.786
61803.000,0.160,2246.949
500915.000,0.046,2363.156
383904.000,0.103,1926.963
18568.000,0.095,2395.745
351958.000,0.626,1080.923
540230.000,0.008,2614.424
376760.000,0.017,2614.053
693670.000,0.041,2081.342
438856.000,0.002,1817.363
237104.000,0.038,1319.634
416973.000,0.747,2004.806
777913.000,0.063,1019.967
800564.000,0.429,2371.790
114388.000,0.032,2093.012
624529.000,0.043,2615.605
522643.000,0.108,1835.128
16685.000,0.151,1951.020
483364.000,0.239,1192.127
715439.000,0.152,2085.302
394380.000,0.515,2425.483
738920.000,0.000,2613.328
202376.000,0.012,2614.203
450895.000,0.541,1069.576
489246.000,0.000,1574.227
195721.000,0.463,1694.545
270269.000,0.105,1302.942
58532.000,0.557,2151.948
907861.000,0.011,1580.929
452604.000,0.425,1269.947
189465.000,0.026,2614.635
407906.000,0.091,1164.419
28689.000,0.065,2182.435
937697.000,0.121,1618.770
800791.000,0.016,2233.342
146292.000,0.047,2614.157
585630.000,0.014,1922.489
181038.000,0.011,2612.642
608115.000,0.590,1190.129
290068.000,0.111,2614.377
444542.000,0.000,1708.840
618146.000,0.003,2102.035
302070.000,0.005,2400.827
2739.000,0.779,1065.185
665884.000,0.431,2210.146
952358.000,0.221,1859.672
929216.000,0.057,2375.627
624356.000,0.000,1580.778
345458.000,0.197,1988.797
12724.000,0.007,2614.337
544432.000,0.047,1905.018
688247.000,0.006,2613.804
56872.000,0.427,2248.772
174216.000,0.000,2360.238
23113.000,0.607,2150.123
235110.000,0.058,1346.715
98057.000,0.037,2613.797
448531.000,0.313,1938.000
61093.000,0.019,1555.923
992022.000,0.272,1628.655
594631.000,0.755,2174.308
969211.000,0.028,2110.120
178029.000,0.020,2361.609
235095.000,0.083,2426.151
761754.000,0.024,1315.035
255701.000,0.195,1079.172
782704.000,0.289,2146.489
552382.000,0.564,2399.320
480798.000,0.011,2351.069
766920.000,0.061,2103.583
551690.000,0.058,1727.944
123198.000,0.275,1114.329
283257.000,0.001,1979.043
323083.000,0.082,1746.714
985613.000,0.147,2311.236
289211.000,0.259,1575.780
929521.000,0.068,1225.003
201382.000,0.642,2264.171
313054.000,0.035,2614.232
861767.000,0.165,2539.087
73715.000,0.000,1820.461
492394.000,0.005,1943.201
13585.000,0.043,2614.381
830955.000,0.677,1608.832
787993.000,0.122,2339.714
412382.000,0.740,1427.610
895172.000,0.219,2296.172
92765.000,0.658,1237.835
894108.000,0.184,2291.816
381501.000,0.288,1650.712
136234.000,0.135,1661.293
371503.000,0.598,1587.809
935571.000,0.227,1835.038
612108.000,0.310,2615.004
214127.000,0.008,2613.227
466755.000,0.181,2407.479
27098.000,0.001,2389.575
562899.000,0.073,2616.054
659020.000,0.006,1620.421
89461.000,0.494,1762.043
469916.000,0.004,2615.467
853662.000,0.003,1170.888
986677.000,0.037,2613.820
227247.000,0.062,2613.977
318424.000,0.370,2356.208
64303.000,0.157,1658.409
129657.000,0.055,1081.705
1017161.000,0.508,1592.369
8398.000,0.141,2513.794
159132.000,0.328,1592.150
819101.000,0.524,1664.157
693049.000,0.249,2220.697
104656.000,0.000,2164.126
393038.000,0.004,2613.987
814834.000,0.094,2422.740
473881.000,0.764,1225.755
955723.000,0.044,1378.275
811008.000,0.001,2614.464
5211.000,0.272,2614.395
425041.000,0.261,2354.902
1027258.000,0.074,2612.779
637217.000,0.000,2613.583
859240.000,0.019,2333.987
951680.000,0.680,1466.829
483662.000,0.374,1567.973
