id,cnn_score,energy
219194.000,0.054,1898.579
235248.000,0.244,2614.380
335295.000,0.192,1927.341
907510.000,0.091,1870.253
910969.000,0.015,1396.519
339878.000,0.398,2147.940
652768.000,0.040,1805.961
41137.000,0.037,1146.393
601992.000,0.012,1369.277
868319.000,0.058,1138.868
350629.000,0.000,2163.648
366009.000,0.194,2308.257
197820.000,0.004,2614.219
245714.000,0.122,2340.692
589417.000,0.765,1812.359
738668.000,0.166,2066.831
615588.000,0.319,1309.803
102108.000,0.667,2293.772
5864.000,0.000,2614.223
877493.000,0.000,2616.136
588629.000,0.118,1676.151
927253.000,0.191,1946.052
660875.000,0.051,2250.432
516971.000,0.299,2389.126
78065.000,0.486,2308.642
24898.000,0.042,2102.270
523878.000,0.429,1593.289
1017048.000,0.238,1231.741
606996.000,0.049,2611.936
469861.000,0.053,2614.809
104007.000,0.032,2612.930
518715.000,0.004,1153.887
309286.000,0.068,2615.778
120169.000,0.021,2613.352
890308.000,0.163,1384.026
67568.000,0.487,1703.973
829748.000,0.068,2075.814
828262.000,0.000,2143.959
614842.000,0.066,2197.361
494988.000,0.764,1592.840
367347.000,0.035,1096.472
908000.000,0.032,1682.653
646220.000,0.320,1479.983
633345.000,0.028,1617.153
917511.000,0.006,1534.953
724216.000,0.607,1969.477
721043.000,0.063,2326.794
133689.000,0.047,1630.837
973007.000,0.000,1671.277
800000.000,0.049,2464.614
794185.000,0.000,1139.274
471308.000,0.012,2016.757
998568.000,0.111,2121.287
282963.000,0.036,1738.150
25077.000,0.051,1390.168
141832.000,0.000,1155.219
240889.000,0.017,1043.724
1010205.000,0.014,2613.404
738492.000,0.025,1593.490
734850.000,0.162,2189.522
514784.000,0.099,1950.495
904763.000,0.017,2614.418
619404.000,0.064,2222.577
458894.000,0.014,2221.282
213751.000,0.023,2615.268
339709.000,0.041,1620.997
292579.000,0.001,1935.943
936808.000,0.079,2376.680
84716.000,0.009,2254.300
795891.000,0.179,1825.899
243340.000,0.002,1718.720
829284.000,0.009,2364.479
174019.000,0.759,1620.342
375818.000,0.329,2255.331
1004042.000,0.038,2480.923
703128.000,0.128,1651.766
116078.000,0.345,2338.117
467047.000,0.004,2617.220
313720.000,0.029,2613.143
742348.000,0.039,2615.570
33967.000,0.454,1168.668
352874.000,0.329,1594.098
635178.000,0.006,2168.028
863887.000,0.152,1093.616
390621.000,0.372,2614.919
246121.000,0.079,1938.672
263904.000,0.620,1463.137
912527.000,0.055,1683.494
79684.000,0.152,2612.795
816230.000,0.066,2613.557
441258.000,0.026,2613.967
590324.000,0.000,2615.011
434078.000,0.132,2395.809
996564.000,0.137,2277.519
209043.000,0.326,1357.056
151448.000,0.384,1984.307
1034492.000,0.081,2615.581
897408.000,0.003,2475.899
298956.000,0.325,1211.934
836739.000,0.041,1416.107
615709.000,0.000,2102.965
858477.000,0.050,1816.023
595680.000,0.027,1521.963
669570.000,0.369,1148.374
869351.000,0.747,2388.884
507427.000,0.629,1820.480
183704.000,0.031,2404.415
242438.000,0.154,2458.671
757728.000,0.062,1981.773
829866.000,0.006,1226.769
1036602.000,0.001,2612.658
189154.000,0.608,2273.335
599417.000,0.056,2613.248
577358.000,0.010,2616.607
444961.000,0.138,1266.349
1001866.000,0.005,2613.673
260098.000,0.089,2089.013
344059.000,0.363,1831.317
29696.000,0.219,1307.464
614735.000,0.029,1340.726
516690.000,0.398,2193.328
332261.000,0.036,2482.217
751084.000,0.026,1612.122
36731.000,0.018,2141.089
997690.000,0.027,2612.377
249248.000,0.018,1910.890
615199.000,0.302,1523.727
41744.000,0.000,2015.321
107390.000,0.210,1827.804
552646.000,0.006,2132.815
908292.000,0.393,1632.726
70064.000,0.411,1185.958
264238.000,0.065,2526.378
212596.000,0.035,2410.560
116508.000,0.042,1452.628
178932.000,0.273,2375.082
479291.000,0.003,2102.877
997540.000,0.869,1703.305
617911.000,0.017,2614.420
288516.000,0.662,1178.353
606674.000,0.467,1333.661
305171.000,0.054,2119.903
431814.000,0.307,2613.282
73873.000,0.226,2023.051
1019722.000,0.629,2355.638
752823.000,0.015,1904.388
188073.000,0.474,2615.383
149394.000,0.119,1537.283
683507.000,0.865,1279.018
635658.000,0.015,2333.923
967164.000,0.002,1990.036
567725.000,0.075,2347.770
110804.000,0.010,2347.664
728891.000,0.733,2254.436
506616.000,0.005,1523.260
679855.000,0.166,2616.618
407164.000,0.029,1051.109
322751.000,0.055,2614.606
377184.000,0.774,1207.299
1035241.000,0.001,1014.296
397982.000,0.110,2612.859
416588.000,0.174,2614.794
236903.000,0.140,1971.581
842806.000,0.080,2258.776
969307.000,0.052,2314.517
911292.000,0.386,1187.963
7790.000,0.094,2614.468
984514.000,0.713,1868.471
797930.000,0.191,2311.646
430741.000,0.014,1942.979
972926.000,0.352,2354.666
184809.000,0.057,1703.439
72416.000,0.409,1930.173
603788.000,0.403,1861.090
201061.000,0.065,2615.626
470801.000,0.183,1421.370
290209.000,0.071,1260.876
170012.000,0.407,2460.750
900207.000,0.002,1432.866
770335.000,0.000,2614.904
798538.000,0.080,1820.715
359811.000,0.431,2321.677
221065.000,0.542,2001.096
497112.000,0.257,1531.249
912006.000,0.146,2610.789
296218.000,0.206,2481.000
361807.000,0.159,2309.370
1009357.000,0.134,1296.723
902500.000,0.000,1308.739
952049.000,0.010,2612.766
913306.000,0.444,1759.056
170838.000,0.553,1971.265
192879.000,0.047,2465.811
432577.000,0.027,2615.371
512308.000,0.072,2614.317
783758.000,0.212,2612.997
860131.000,0.120,2250.722
104634.000,0.919,2141.647
12657.000,0.032,2410.465
819153.000,0.651,1651.552
803484.000,0.147,1227.382
307609.000,0.187,2326.523
946618.000,0.059,2613.716
534366.000,0.783,1321.217
509601.000,0.096,2079.890
568381.000,0.003,2252.171
321836.000,0.079,1076.123
1002388.000,0.015,1114.719
535597.000,0.671,1198.690
309704.000,0.440,2393.037
989627.000,0.553,2396.445
838245.000,0.053,2614.088
693301.000,0.603,2121.713
507110.000,0.020,1345.866
3599.000,0.207,2471.223
482240.000,0.224,1747.392
860667.000,0.034,1429.892
445694.000,0.053,2612.953
815980.000,0.407,1932.741
186684.000,0.258,2116.364
296108.000,0.073,2433.698
930638.000,0.000,2614.906
394456.000,0.007,1523.618
818580.000,0.099,1670.104
978754.000,0.057,1881.379
404248.000,0.037,2615.015
822625.000,0.003,2141.688
65891.000,0.125,2614.811
194780.000,0.543,1895.259
711377.000,0.459,2252.596
907753.000,0.256,2216.654
971371.000,0.008,2278.168
822714.000,0.009,2614.113
227320.000,0.013,1139.034
177941.000,0.061,2131.440
605924.000,0.474,2265.650
771264.000,0.016,1644.685
388458.000,0.025,2328.986
750510.000,0.003,1884.322
337562.000,0.020,1340.475
565062.000,0.389,2402.991
429672.000,0.004,1958.934
318696.000,0.000,1065.064
782800.000,0.036,1090.758
377282.000,0.400,1418.020
248444.000,0.316,2317.669
821746.000,0.290,2614.231
227592.000,0.171,2075.191
851611.000,0.003,2232.392
756296.000,0.427,1333.860
308839.000,0.659,1656.391
419083.000,0.177,2613.231
285217.000,0.000,2614.799
293201.000,0.002,2614.211
96474.000,0.031,1921.868
489833.000,0.343,1957.982
737328.000,0.126,2615.039
481591.000,0.003,1929.663
126758.000,0.041,2615.915
39060.000,0.148,1836.099
331952.000,0.391,2224.345
768233.000,0.161,2413.446
602935.000,0.514,1184.218
888667.000,0.055,1565.782
921658.000,0.442,1090.119
78921.000,0.092,2615.252
573980.000,0.346,2294.539
835196.000,0.000,2228.890
211140.000,0.180,2396.160
284628.000,0.000,1134.628
383016.000,0.035,1801.965
394970.000,0.036,2169.210
799144.000,0.335,1565.058
19202.000,0.058,2124.951
210438.000,0.022,2615.553
910949.000,0.031,2042.699
981021.000,0.000,1911.954
438035.000,0.607,1739.645
861561.000,0.678,2336.945
815229.000,0.328,1590.715
682498.000,0.583,1212.123
425772.000,0.454,2336.758
727962.000,0.292,1194.046
332279.000,0.215,2246.114
103893.000,0.268,2137.560
489343.000,0.225,1892.087
159986.000,0.114,2614.471
610547.000,0.121,2065.455
950497.000,0.025,1451.080
821826.000,0.293,1088.042
981074.000,0.618,2378.105
966687.000,0.007,1220.644
501307.000,0.039,2250.700
1031129.000,0.217,1293.982
721599.000,0.043,1960.004
28381.000,0.357,2611.791
777203.000,0.145,1612.903
799261.000,0.267,2331.463
8884.000,0.051,2614.730
539216.000,0.089,1116.243
741111.000,0.072,1221.622
318041.000,0.307,2462.812
90723.000,0.005,1097.686
544715.000,0.063,2614.645
350943.000,0.033,2104.991
821707.000,0.744,2214.729
528786.000,0.520,2241.208
386279.000,0.530,1575.621
479022.000,0.883,1367.037
924106.000,0.690,1094.453
348865.000,0.093,1258.654
350295.000,0.062,2613.844
942210.000,0.044,1025.450
607517.000,0.031,2614.331
232239.000,0.348,1380.997
509644.000,0.244,1698.498
953426.000,0.589,1981.232
988818.000,0.115,1194.865
932200.000,0.048,2615.686
840854.000,0.915,2486.609
683355.000,0.044,1474.476
635251.000,0.150,1224.057
532521.000,0.014,2218.608
226504.000,0.498,1726.506
435610.000,0.241,2342.645
768023.000,0.447,2046.219
898646.000,0.590,1440.931
928103.000,0.405,1209.539
518266.000,0.888,1425.062
385342.000,0.039,2354.277
964510.000,0.018,2305.079
217756.000,0.091,2088.164
376671.000,0.623,1292.056
609643.000,0.001,1839.216
470241.000,0.094,2211.597
1025220.000,0.539,1472.970
859690.000,0.108,2612.523
26554.000,0.854,1007.887
351683.000,0.156,1551.757
381563.000,0.008,2122.769
55504.000,0.471,1762.247
602276.000,0.430,2182.772
1011360.000,0.014,1927.479
850866.000,0.777,2410.943
719511.000,0.755,2164.382
238385.000,0.011,2529.076
511308.000,0.738,1501.275
159338.000,0.001,2031.501
10156.000,0.012,2614.361
811519.000,0.389,2387.267
519080.000,0.366,2244.947
749798.000,0.026,2204.470
718401.000,0.001,2210.503
741080.000,0.080,1160.075
74223.000,0.057,2605.820
611695.000,0.001,2615.650
622203.000,0.512,1592.683
669214.000,0.060,2502.852
620700.000,0.269,1444.527
86506.000,0.010,2265.088
107387.000,0.723,1585.842
229299.000,0.000,2122.274
223119.000,0.137,2163.558
436392.000,0.800,2047.053
290064.000,0.010,1512.763
348033.000,0.396,1273.815
685725.000,0.000,1619.602
676617.000,0.387,1863.349
614948.000,0.747,1091.319
840714.000,0.151,2614.217
114611.000,0.914,1063.789
866074.000,0.471,1122.365
216424.000,0.433,2357.744
516553.000,0.671,1641.570
67649.000,0.040,1756.765
513938.000,0.111,1344.087
836775.000,0.692,1354.780
863481.000,0.006,1750.240
705960.000,0.306,2161.025
489950.000,0.041,1593.317
974430.000,0.069,2201.219
602130.000,0.002,1877.645
470265.000,0.591,1066.830
936377.000,0.001,1621.484
968082.000,0.668,1789.689
654855.000,0.323,2028.006
962743.000,0.009,1212.609
653824.000,0.421,2271.893
437114.000,0.037,1319.177
507667.000,0.109,1072.519
704442.000,0.335,1470.435
1016102.000,0.004,2243.853
967070.000,0.075,2100.971
