id,cnn_score,energy
416295.000,0.617,1939.635
768422.000,0.391,1114.919
243163.000,0.156,1481.180
187153.000,0.383,1933.318
191990.000,0.432,2485.513
704576.000,0.640,2445.693
716706.000,0.402,1966.639
30932.000,0.178,2170.782
69481.000,0.055,2611.198
359163.000,0.453,1927.329
608341.000,0.730,1790.018
373264.000,0.016,2613.175
366345.000,0.015,2453.180
475247.000,0.082,2373.949
790938.000,0.002,2614.771
854523.000,0.013,2147.293
970957.000,0.004,2120.644
1008310.000,0.659,1591.808
118723.000,0.066,2615.654
926028.000,0.211,2356.962
284542.000,0.065,2087.767
970407.000,0.418,1351.071
981382.000,0.015,2365.959
52989.000,0.237,1264.247
450508.000,0.074,2347.169
402423.000,0.021,1273.722
88760.000,0.279,1381.238
526015.000,0.206,1193.175
410144.000,0.007,2101.325
182119.000,0.000,2616.795
1014264.000,0.030,2198.756
658903.000,0.021,2608.000
725700.000,0.193,2345.878
25245.000,0.024,2413.364
327065.000,0.001,1300.665
905657.000,0.187,2412.315
722280.000,0.001,2273.171
709483.000,0.186,1442.634
1000369.000,0.070,1904.888
133749.000,0.005,2447.110
700445.000,0.155,1931.587
716932.000,0.022,2615.307
87249.000,0.571,1012.101
213868.000,0.242,2233.830
402574.000,0.130,3176.262
518610.000,0.041,2613.281
794653.000,0.159,2333.445
378439.000,0.429,1395.597
573982.000,0.000,2296.987
132231.000,0.690,1602.695
920596.000,0.324,2278.508
620155.000,0.310,1363.276
568971.000,0.276,1243.277
910507.000,0.369,1422.811
921659.000,0.001,2613.131
31062.000,0.201,1890.502
550961.000,0.005,2102.768
493548.000,0.521,1485.203
610025.000,0.381,2616.184
737929.000,0.281,1625.062
921619.000,0.191,1860.251
218115.000,0.287,1426.183
329393.000,0.000,1741.815
430885.000,0.460,2045.397
831810.000,0.252,2086.708
986198.000,0.041,2614.396
820842.000,0.051,1012.612
276310.000,0.029,2473.457
736462.000,0.002,2133.336
768238.000,0.023,1899.076
870938.000,0.250,1464.217
266655.000,0.350,2268.806
656559.000,0.124,2614.243
372352.000,0.038,2615.735
453888.000,0.060,2612.442
190399.000,0.038,2029.883
1028779.000,0.006,2395.812
533345.000,0.739,1215.744
964140.000,0.128,2298.135
295979.000,0.082,2231.711
203158.000,0.022,2735.764
258613.000,0.044,1168.031
1018772.000,0.032,1734.178
