id,cnn_score,energy
2418164.000,0.014,1615.425
2782950.000,0.567,2219.339
2410914.000,0.001,1862.681
2443253.000,0.144,2352.046
2440341.000,0.001,1263.964
2622553.000,0.015,2105.771
2541303.000,0.138,1238.526
2476460.000,0.388,1905.603
2730438.000,0.323,1473.299
2699062.000,0.028,2614.325
2698420.000,0.209,2616.823
2746845.000,0.002,2243.964
2520632.000,0.075,2300.141
2399698.000,0.437,2614.397
2769777.000,0.038,2177.711
2408129.000,0.020,1299.118
2652848.000,0.016,1594.079
2483144.000,0.014,1015.814
2643154.000,0.054,2502.786
2550021.000,0.055,2449.089
2554384.000,0.859,1034.034
2656685.000,0.509,1751.032
2428177.000,0.009,1295.130
2447184.000,0.057,2613.798
2466367.000,0.023,2288.491
2413469.000,0.347,2095.253
2529992.000,0.008,2312.849
2580287.000,0.289,1759.393
2583715.000,0.009,2498.390
2503164.000,0.060,1295.338
2709910.000,0.497,2298.716
2493818.000,0.080,1690.141
2465383.000,0.035,1335.483
2422321.000,0.336,2324.617
2734990.000,0.546,1637.398
2691795.000,0.370,2287.966
2766288.000,0.352,1431.753
2555029.000,0.505,1597.584
2559449.000,0.025,2096.231
2633989.000,0.082,2613.043
2453633.000,0.035,2127.913
2754466.000,0.006,2409.340
2496673.000,0.027,2614.699
2431016.000,0.136,1034.665
2602531.000,0.169,2076.031
2741510.000,0.045,1820.432
2583098.000,0.064,2183.985
2627257.000,0.566,2026.248
2738048.000,0.271,2211.923
2611449.000,0.027,1621.039
2485299.000,0.494,1208.754
2400206.000,0.299,1814.422
2496094.000,0.079,1730.621
2644285.000,0.009,2133.057
2681142.000,0.338,1961.517
2545182.000,0.001,2615.608
2572812.000,0.020,2199.507
2623394.000,0.061,1350.523
2772460.000,0.051,1677.595
2669672.000,0.285,1439.630
2668299.000,0.033,1621.383
2669131.000,0.024,1079.050
2531548.000,0.123,2615.631
2683111.000,0.022,1436.986
2399630.000,0.016,2221.654
2555712.000,0.026,1749.190
2459281.000,0.011,1038.067
2542456.000,0.190,2615.034
2422463.000,0.003,2418.470
2523104.000,0.585,1120.768
2591470.000,0.002,2612.125
2536160.000,0.001,2045.823
2531651.000,0.390,1324.158
2564046.000,0.358,1794.014
2606772.000,0.066,2614.787
2452035.000,0.479,2131.003
2516159.000,0.077,2428.914
2628454.000,0.009,2615.453
2493704.000,0.363,1965.567
2555773.000,0.002,2608.287
2600921.000,0.286,1672.692
2610559.000,0.023,2616.127
2552821.000,0.340,1997.885
2405476.000,0.047,2335.402
2434517.000,0.638,1685.984
2676764.000,0.000,1290.414
2613836.000,0.598,1616.201
2435255.000,0.088,1650.611
2579365.000,0.007,2613.866
2563430.000,0.004,1273.891
2497774.000,0.620,1475.861
2776529.000,0.225,2280.659
2609266.000,0.044,1118.285
2667247.000,0.000,1499.707
2453745.000,0.011,1620.741
2642813.000,0.050,1520.215
2707344.000,0.428,1621.200
2430107.000,0.078,1242.834
2681175.000,0.069,2225.908
